instance_id,matched_group_id,instance_index,family,difficulty,base_seed,realized_seed,relief_severity,detail_strength_m,size,cell_size,task_count,canonical_task_id,max_elevation,mean_point_slope_degrees,mean_footprint_slope_degrees,mean_roughness,blocked_by_slope_fraction,blocked_by_roughness_fraction,blocked_by_step_fraction,navigable_fraction,collision_boundary_density,connected_components,largest_component_fraction,largest_component_share,map_file,terrain_image_file,traversability_image_file
terrain_smooth_obstacles_001_easy,terrain_smooth_obstacles_001,1,smooth_obstacles,easy,7300,7300,0.761959,0.001888,128,0.25,10,terrain_smooth_obstacles_001_easy_sg10,4.6711,10.0562,10.051,0.0029,0.10498,0.0,0.0,0.833496,0.025591,1,0.833496,1.0,maps/smooth_obstacles/terrain_smooth_obstacles_001_easy.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_001_easy.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_001_easy_analysis.png
terrain_smooth_obstacles_001_medium,terrain_smooth_obstacles_001,1,smooth_obstacles,medium,7300,7300,1.473676,0.01318,128,0.25,10,terrain_smooth_obstacles_001_medium_sg10,9.0347,17.2665,17.2568,0.0057,0.289856,0.0,0.0,0.648621,0.032357,3,0.636047,0.980615,maps/smooth_obstacles/terrain_smooth_obstacles_001_medium.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_001_medium.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_001_medium_analysis.png
terrain_smooth_obstacles_001_hard,terrain_smooth_obstacles_001,1,smooth_obstacles,hard,7300,7300,3.040667,0.045,128,0.25,10,terrain_smooth_obstacles_001_hard_sg10,18.6435,27.4131,27.3947,0.0118,0.420776,0.00061,0.167725,0.517395,0.03205,4,0.515076,0.995517,maps/smooth_obstacles/terrain_smooth_obstacles_001_hard.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_001_hard.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_001_hard_analysis.png
terrain_smooth_obstacles_002_easy,terrain_smooth_obstacles_002,2,smooth_obstacles,easy,17307,17307,0.615309,0.001477,128,0.25,10,terrain_smooth_obstacles_002_easy_sg10,4.4668,9.4828,9.4761,0.0029,0.093384,0.0,0.0,0.845093,0.023991,1,0.845093,1.0,maps/smooth_obstacles/terrain_smooth_obstacles_002_easy.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_002_easy.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_002_easy_analysis.png
terrain_smooth_obstacles_002_medium,terrain_smooth_obstacles_002,2,smooth_obstacles,medium,17307,17307,1.273091,0.009503,128,0.25,10,terrain_smooth_obstacles_002_medium_sg10,9.236,17.2059,17.1929,0.006,0.289001,0.0,0.0,0.649475,0.032542,3,0.642883,0.989851,maps/smooth_obstacles/terrain_smooth_obstacles_002_medium.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_002_medium.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_002_medium_analysis.png
terrain_smooth_obstacles_002_hard,terrain_smooth_obstacles_002,2,smooth_obstacles,hard,17307,17307,2.482263,0.034418,128,0.25,10,terrain_smooth_obstacles_002_hard_sg10,17.9963,26.3583,26.3346,0.0118,0.416443,0.0,0.145142,0.522034,0.032542,5,0.516602,0.989594,maps/smooth_obstacles/terrain_smooth_obstacles_002_hard.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_002_hard.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_002_hard_analysis.png
terrain_smooth_obstacles_003_easy,terrain_smooth_obstacles_003,3,smooth_obstacles,easy,27314,27314,0.649087,0.001558,128,0.25,10,terrain_smooth_obstacles_003_easy_sg10,4.1103,9.4243,9.4177,0.0027,0.088684,0.0,0.0,0.849792,0.026083,1,0.849792,1.0,maps/smooth_obstacles/terrain_smooth_obstacles_003_easy.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_003_easy.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_003_easy_analysis.png
terrain_smooth_obstacles_003_medium,terrain_smooth_obstacles_003,3,smooth_obstacles,medium,27314,27314,1.273091,0.009503,128,0.25,10,terrain_smooth_obstacles_003_medium_sg10,8.0617,16.5014,16.4889,0.0054,0.283203,0.0,0.0,0.655273,0.033588,3,0.638123,0.973826,maps/smooth_obstacles/terrain_smooth_obstacles_003_medium.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_003_medium.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_003_medium_analysis.png
terrain_smooth_obstacles_003_hard,terrain_smooth_obstacles_003,3,smooth_obstacles,hard,27314,27314,2.611428,0.037383,128,0.25,10,terrain_smooth_obstacles_003_hard_sg10,16.5363,26.2748,26.2506,0.0111,0.415955,0.0,0.151672,0.522522,0.033465,6,0.510376,0.976755,maps/smooth_obstacles/terrain_smooth_obstacles_003_hard.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_003_hard.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_003_hard_analysis.png
terrain_smooth_obstacles_004_easy,terrain_smooth_obstacles_004,4,smooth_obstacles,easy,37321,37321,0.722307,0.001734,128,0.25,10,terrain_smooth_obstacles_004_easy_sg10,4.9429,10.3371,10.3333,0.0027,0.101196,0.0,0.0,0.83728,0.025591,2,0.810181,0.967634,maps/smooth_obstacles/terrain_smooth_obstacles_004_easy.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_004_easy.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_004_easy_analysis.png
