instance_id,family,difficulty,json_file,npz_file,json_size_bytes,npz_size_bytes,json_sha256,npz_sha256
terrain_mountain_001_easy,mountain,easy,maps/mountain/terrain_mountain_001_easy.json,npz/mountain/terrain_mountain_001_easy.npz,1026720,293374,34c8d59bd4203ee709eb8a6045671f21e5dec3608ae230e6d7182e000e9d314a,dd2635acf6a5ec17815a86b0bc7b066515c51f88a575ad205b6550cd30546703
terrain_mountain_001_hard,mountain,hard,maps/mountain/terrain_mountain_001_hard.json,npz/mountain/terrain_mountain_001_hard.npz,1036599,314283,4840bdda7c5ed74d31d7a943591a510604ccb833717b03176a2f34dcaa99c075,a6ea28f56b6ac95782bc0f59ae42238eda07592d00417870ed70eafaca6149e5
terrain_mountain_001_medium,mountain,medium,maps/mountain/terrain_mountain_001_medium.json,npz/mountain/terrain_mountain_001_medium.npz,1033589,306778,ef2bdb1a6c5881a3868472bc0edcc6283bf7eea46c15395456bd0d1d97ce66e0,d8107cac8a89c26a04c592d453aae748afde7862468088c5687cffd2da22d6fe
terrain_mountain_002_easy,mountain,easy,maps/mountain/terrain_mountain_002_easy.json,npz/mountain/terrain_mountain_002_easy.npz,1024835,288119,d9d44d1b19bba7b739f16ef6b1122298a315ca30861605cafb90c106c1a88215,e2989d20ab0381b8b796b109b9a1dcd3a6f7cab4541eebed1c3589d0d43776dd
terrain_mountain_002_hard,mountain,hard,maps/mountain/terrain_mountain_002_hard.json,npz/mountain/terrain_mountain_002_hard.npz,1033358,308447,db37b60fad36381d57e3dce1d43c48db1c6bf6d7e26ad8f06045494151ff6b7f,acd7edd2ab21800b8a143e522c4ee4ca883f1e6458aee59f943276e230052bbc
terrain_mountain_002_medium,mountain,medium,maps/mountain/terrain_mountain_002_medium.json,npz/mountain/terrain_mountain_002_medium.npz,1032078,306503,25cbf85f6e0d459cb386a146a2b2f9d188f1f21ac0df79992f5f7d5925214c71,17c87961c6863d842f00b80cdf51addf53c4dd1a1379801334a27c860dbc441f
terrain_mountain_003_easy,mountain,easy,maps/mountain/terrain_mountain_003_easy.json,npz/mountain/terrain_mountain_003_easy.npz,1026766,292127,a69d91ed57cf7e4dea9d821bacf392a07f2dc7b404fd2ab0e47ed0fff2924fd5,9e43ca01b4047ab98b7d538f730928e1e1e37f0b773e8d11137f3d35a92712a9
terrain_mountain_003_hard,mountain,hard,maps/mountain/terrain_mountain_003_hard.json,npz/mountain/terrain_mountain_003_hard.npz,1039967,312562,68180eccaa5dc6af0930ef62ccebdb4307d3857f64c2b683de0093b0df3a3b56,b02b1dd8db4c4588876b080cea1aba811f9292bbc08db8d098a64f39dbf5a53f
terrain_mountain_003_medium,mountain,medium,maps/mountain/terrain_mountain_003_medium.json,npz/mountain/terrain_mountain_003_medium.npz,1036926,307462,1a79db43bebdc34b3d89e51efcb207fffa4936f4149c20fe70367448dd762b87,1f155eede1f8e25f507441645717ee60b3bff22854142df4dc0c70ffba27a699
terrain_mountain_004_easy,mountain,easy,maps/mountain/terrain_mountain_004_easy.json,npz/mountain/terrain_mountain_004_easy.npz,1022256,284700,dc1806c0d1058bf43bcb78a1bdf6b84a0c49f5fccd3189ffcd32f5d7ee4a8523,061b8807feb65034b120278432ca2b8a365baf3c5a36dac6e1b4b5a98f10e994
