split,matched_group_id,family,instance_index,easy_instance_id,medium_instance_id,hard_instance_id,easy_map_file,medium_map_file,hard_map_file
train,terrain_smooth_obstacles_003,smooth_obstacles,3,terrain_smooth_obstacles_003_easy,terrain_smooth_obstacles_003_medium,terrain_smooth_obstacles_003_hard,maps/smooth_obstacles/terrain_smooth_obstacles_003_easy.json,maps/smooth_obstacles/terrain_smooth_obstacles_003_medium.json,maps/smooth_obstacles/terrain_smooth_obstacles_003_hard.json
train,terrain_smooth_obstacles_005,smooth_obstacles,5,terrain_smooth_obstacles_005_easy,terrain_smooth_obstacles_005_medium,terrain_smooth_obstacles_005_hard,maps/smooth_obstacles/terrain_smooth_obstacles_005_easy.json,maps/smooth_obstacles/terrain_smooth_obstacles_005_medium.json,maps/smooth_obstacles/terrain_smooth_obstacles_005_hard.json
train,terrain_smooth_obstacles_007,smooth_obstacles,7,terrain_smooth_obstacles_007_easy,terrain_smooth_obstacles_007_medium,terrain_smooth_obstacles_007_hard,maps/smooth_obstacles/terrain_smooth_obstacles_007_easy.json,maps/smooth_obstacles/terrain_smooth_obstacles_007_medium.json,maps/smooth_obstacles/terrain_smooth_obstacles_007_hard.json
train,terrain_smooth_obstacles_011,smooth_obstacles,11,terrain_smooth_obstacles_011_easy,terrain_smooth_obstacles_011_medium,terrain_smooth_obstacles_011_hard,maps/smooth_obstacles/terrain_smooth_obstacles_011_easy.json,maps/smooth_obstacles/terrain_smooth_obstacles_011_medium.json,maps/smooth_obstacles/terrain_smooth_obstacles_011_hard.json
train,terrain_smooth_obstacles_015,smooth_obstacles,15,terrain_smooth_obstacles_015_easy,terrain_smooth_obstacles_015_medium,terrain_smooth_obstacles_015_hard,maps/smooth_obstacles/terrain_smooth_obstacles_015_easy.json,maps/smooth_obstacles/terrain_smooth_obstacles_015_medium.json,maps/smooth_obstacles/terrain_smooth_obstacles_015_hard.json
train,terrain_smooth_obstacles_017,smooth_obstacles,17,terrain_smooth_obstacles_017_easy,terrain_smooth_obstacles_017_medium,terrain_smooth_obstacles_017_hard,maps/smooth_obstacles/terrain_smooth_obstacles_017_easy.json,maps/smooth_obstacles/terrain_smooth_obstacles_017_medium.json,maps/smooth_obstacles/terrain_smooth_obstacles_017_hard.json
train,terrain_smooth_obstacles_019,smooth_obstacles,19,terrain_smooth_obstacles_019_easy,terrain_smooth_obstacles_019_medium,terrain_smooth_obstacles_019_hard,maps/smooth_obstacles/terrain_smooth_obstacles_019_easy.json,maps/smooth_obstacles/terrain_smooth_obstacles_019_medium.json,maps/smooth_obstacles/terrain_smooth_obstacles_019_hard.json
train,terrain_smooth_obstacles_020,smooth_obstacles,20,terrain_smooth_obstacles_020_easy,terrain_smooth_obstacles_020_medium,terrain_smooth_obstacles_020_hard,maps/smooth_obstacles/terrain_smooth_obstacles_020_easy.json,maps/smooth_obstacles/terrain_smooth_obstacles_020_medium.json,maps/smooth_obstacles/terrain_smooth_obstacles_020_hard.json
train,terrain_smooth_obstacles_021,smooth_obstacles,21,terrain_smooth_obstacles_021_easy,terrain_smooth_obstacles_021_medium,terrain_smooth_obstacles_021_hard,maps/smooth_obstacles/terrain_smooth_obstacles_021_easy.json,maps/smooth_obstacles/terrain_smooth_obstacles_021_medium.json,maps/smooth_obstacles/terrain_smooth_obstacles_021_hard.json
train,terrain_smooth_obstacles_023,smooth_obstacles,23,terrain_smooth_obstacles_023_easy,terrain_smooth_obstacles_023_medium,terrain_smooth_obstacles_023_hard,maps/smooth_obstacles/terrain_smooth_obstacles_023_easy.json,maps/smooth_obstacles/terrain_smooth_obstacles_023_medium.json,maps/smooth_obstacles/terrain_smooth_obstacles_023_hard.json
