matched_group_id,family,instance_index,matched_task_id,task_index,start_x,start_y,goal_x,goal_y,distance_class,reference_weighted_distance,reference_distance_difficulty,canonical_visualization
terrain_smooth_obstacles_001,smooth_obstacles,1,terrain_smooth_obstacles_001_sg01,1,31,103,64,120,short,10.0182,hard,False
terrain_smooth_obstacles_001,smooth_obstacles,1,terrain_smooth_obstacles_001_sg02,2,16,55,22,100,short,11.9986,hard,False
terrain_smooth_obstacles_001,smooth_obstacles,1,terrain_smooth_obstacles_001_sg03,3,6,46,23,95,short,14.1197,hard,False
terrain_smooth_obstacles_001,smooth_obstacles,1,terrain_smooth_obstacles_001_sg04,4,88,108,120,46,medium,19.4794,hard,False
terrain_smooth_obstacles_001,smooth_obstacles,1,terrain_smooth_obstacles_001_sg05,5,103,87,106,16,medium,21.5145,hard,False
terrain_smooth_obstacles_001,smooth_obstacles,1,terrain_smooth_obstacles_001_sg06,6,56,18,120,46,medium,23.5744,hard,False
terrain_smooth_obstacles_001,smooth_obstacles,1,terrain_smooth_obstacles_001_sg07,7,109,116,119,22,medium,25.7004,hard,False
terrain_smooth_obstacles_001,smooth_obstacles,1,terrain_smooth_obstacles_001_sg08,8,11,70,118,72,long,32.5732,hard,False
terrain_smooth_obstacles_001,smooth_obstacles,1,terrain_smooth_obstacles_001_sg09,9,6,46,117,99,long,36.122,hard,False
terrain_smooth_obstacles_001,smooth_obstacles,1,terrain_smooth_obstacles_001_sg10,10,39,95,112,12,long,39.5007,hard,True
terrain_smooth_obstacles_002,smooth_obstacles,2,terrain_smooth_obstacles_002_sg01,1,76,27,114,33,short,11.1081,hard,False
terrain_smooth_obstacles_002,smooth_obstacles,2,terrain_smooth_obstacles_002_sg02,2,8,18,16,67,short,13.193,hard,False
terrain_smooth_obstacles_002,smooth_obstacles,2,terrain_smooth_obstacles_002_sg03,3,64,10,121,20,short,15.2976,hard,False
terrain_smooth_obstacles_002,smooth_obstacles,2,terrain_smooth_obstacles_002_sg04,4,10,16,18,97,medium,21.27,hard,False
terrain_smooth_obstacles_002,smooth_obstacles,2,terrain_smooth_obstacles_002_sg05,5,7,91,60,22,medium,24.1117,hard,False
terrain_smooth_obstacles_002,smooth_obstacles,2,terrain_smooth_obstacles_002_sg06,6,26,89,77,13,medium,26.7905,hard,False
terrain_smooth_obstacles_002,smooth_obstacles,2,terrain_smooth_obstacles_002_sg07,7,6,65,105,24,medium,29.5354,hard,False
terrain_smooth_obstacles_002,smooth_obstacles,2,terrain_smooth_obstacles_002_sg08,8,26,77,112,58,long,38.4049,hard,False
terrain_smooth_obstacles_002,smooth_obstacles,2,terrain_smooth_obstacles_002_sg09,9,14,60,119,84,long,42.8434,hard,False
terrain_smooth_obstacles_002,smooth_obstacles,2,terrain_smooth_obstacles_002_sg10,10,16,41,118,115,long,48.1961,hard,True
terrain_smooth_obstacles_003,smooth_obstacles,3,terrain_smooth_obstacles_003_sg01,1,117,116,121,77,short,10.2089,hard,False
terrain_smooth_obstacles_003,smooth_obstacles,3,terrain_smooth_obstacles_003_sg02,2,110,117,112,70,short,12.0846,hard,False
terrain_smooth_obstacles_003,smooth_obstacles,3,terrain_smooth_obstacles_003_sg03,3,103,66,117,116,short,14.1146,hard,False
terrain_smooth_obstacles_003,smooth_obstacles,3,terrain_smooth_obstacles_003_sg04,4,21,7,92,30,medium,20.1833,hard,False
terrain_smooth_obstacles_003,smooth_obstacles,3,terrain_smooth_obstacles_003_sg05,5,12,21,94,33,medium,22.4884,hard,False
terrain_smooth_obstacles_003,smooth_obstacles,3,terrain_smooth_obstacles_003_sg06,6,13,18,93,56,medium,24.7253,hard,False
terrain_smooth_obstacles_003,smooth_obstacles,3,terrain_smooth_obstacles_003_sg07,7,12,21,109,40,medium,26.9483,hard,False
terrain_smooth_obstacles_003,smooth_obstacles,3,terrain_smooth_obstacles_003_sg08,8,12,21,108,89,long,35.0827,hard,False
terrain_smooth_obstacles_003,smooth_obstacles,3,terrain_smooth_obstacles_003_sg09,9,10,93,83,45,long,38.7462,hard,False
terrain_smooth_obstacles_003,smooth_obstacles,3,terrain_smooth_obstacles_003_sg10,10,8,52,114,109,long,41.8187,hard,True
terrain_smooth_obstacles_004,smooth_obstacles,4,terrain_smooth_obstacles_004_sg01,1,13,62,17,103,short,10.7435,hard,False
terrain_smooth_obstacles_004,smooth_obstacles,4,terrain_smooth_obstacles_004_sg02,2,20,74,47,114,short,13.0637,hard,False
terrain_smooth_obstacles_004,smooth_obstacles,4,terrain_smooth_obstacles_004_sg03,3,9,55,56,21,short,15.4788,hard,False
terrain_smooth_obstacles_004,smooth_obstacles,4,terrain_smooth_obstacles_004_sg04,4,41,107,119,112,medium,21.3103,hard,False
terrain_smooth_obstacles_004,smooth_obstacles,4,terrain_smooth_obstacles_004_sg05,5,7,117,33,34,medium,23.5869,hard,False
terrain_smooth_obstacles_004,smooth_obstacles,4,terrain_smooth_obstacles_004_sg06,6,16,13,27,112,medium,26.0137,hard,False
terrain_smooth_obstacles_004,smooth_obstacles,4,terrain_smooth_obstacles_004_sg07,7,14,78,87,12,medium,28.5072,hard,False
terrain_smooth_obstacles_004,smooth_obstacles,4,terrain_smooth_obstacles_004_sg08,8,7,117,120,70,long,36.1699,hard,False
terrain_smooth_obstacles_004,smooth_obstacles,4,terrain_smooth_obstacles_004_sg09,9,28,116,91,8,long,39.0563,hard,False
terrain_smooth_obstacles_004,smooth_obstacles,4,terrain_smooth_obstacles_004_sg10,10,47,114,111,8,long,41.973,hard,True
terrain_smooth_obstacles_005,smooth_obstacles,5,terrain_smooth_obstacles_005_sg01,1,82,120,100,82,short,11.9352,hard,False
terrain_smooth_obstacles_005,smooth_obstacles,5,terrain_smooth_obstacles_005_sg02,2,76,105,108,64,short,14.6605,hard,False
terrain_smooth_obstacles_005,smooth_obstacles,5,terrain_smooth_obstacles_005_sg03,3,97,99,111,37,short,17.3367,hard,False
terrain_smooth_obstacles_005,smooth_obstacles,5,terrain_smooth_obstacles_005_sg04,4,15,6,96,30,medium,23.1746,hard,False
terrain_smooth_obstacles_005,smooth_obstacles,5,terrain_smooth_obstacles_005_sg05,5,22,118,115,101,medium,25.1611,hard,False
terrain_smooth_obstacles_005,smooth_obstacles,5,terrain_smooth_obstacles_005_sg06,6,7,96,105,121,medium,27.1913,hard,False
terrain_smooth_obstacles_005,smooth_obstacles,5,terrain_smooth_obstacles_005_sg07,7,66,16,115,101,medium,29.2378,hard,False
terrain_smooth_obstacles_005,smooth_obstacles,5,terrain_smooth_obstacles_005_sg08,8,57,121,104,8,long,35.6415,hard,False
terrain_smooth_obstacles_005,smooth_obstacles,5,terrain_smooth_obstacles_005_sg09,9,21,36,108,69,long,38.4937,hard,False
terrain_smooth_obstacles_005,smooth_obstacles,5,terrain_smooth_obstacles_005_sg10,10,37,6,109,117,long,41.1647,hard,True
terrain_smooth_obstacles_006,smooth_obstacles,6,terrain_smooth_obstacles_006_sg01,1,33,109,72,116,short,10.5051,hard,False
terrain_smooth_obstacles_006,smooth_obstacles,6,terrain_smooth_obstacles_006_sg02,2,25,56,26,7,short,12.4666,hard,False
terrain_smooth_obstacles_006,smooth_obstacles,6,terrain_smooth_obstacles_006_sg03,3,40,100,94,101,short,14.523,hard,False
terrain_smooth_obstacles_006,smooth_obstacles,6,terrain_smooth_obstacles_006_sg04,4,30,99,104,112,medium,19.9297,hard,False
terrain_smooth_obstacles_006,smooth_obstacles,6,terrain_smooth_obstacles_006_sg05,5,23,112,111,111,medium,22.1899,hard,False
terrain_smooth_obstacles_006,smooth_obstacles,6,terrain_smooth_obstacles_006_sg06,6,33,109,120,84,medium,24.4865,hard,False
terrain_smooth_obstacles_006,smooth_obstacles,6,terrain_smooth_obstacles_006_sg07,7,31,87,51,10,medium,26.7045,hard,False
terrain_smooth_obstacles_006,smooth_obstacles,6,terrain_smooth_obstacles_006_sg08,8,26,42,116,22,long,33.0905,hard,False
terrain_smooth_obstacles_006,smooth_obstacles,6,terrain_smooth_obstacles_006_sg09,9,21,54,116,22,long,36.348,hard,False
terrain_smooth_obstacles_006,smooth_obstacles,6,terrain_smooth_obstacles_006_sg10,10,9,7,94,103,long,40.0089,hard,True
terrain_smooth_obstacles_007,smooth_obstacles,7,terrain_smooth_obstacles_007_sg01,1,41,86,62,118,short,10.5859,hard,False
terrain_smooth_obstacles_007,smooth_obstacles,7,terrain_smooth_obstacles_007_sg02,2,11,117,23,72,short,12.5297,hard,False
terrain_smooth_obstacles_007,smooth_obstacles,7,terrain_smooth_obstacles_007_sg03,3,16,74,57,114,short,14.6828,hard,False
terrain_smooth_obstacles_007,smooth_obstacles,7,terrain_smooth_obstacles_007_sg04,4,39,81,96,108,medium,20.7891,hard,False
terrain_smooth_obstacles_007,smooth_obstacles,7,terrain_smooth_obstacles_007_sg05,5,39,81,108,116,medium,23.4641,hard,False
terrain_smooth_obstacles_007,smooth_obstacles,7,terrain_smooth_obstacles_007_sg06,6,39,87,46,9,medium,26.0746,hard,False
terrain_smooth_obstacles_007,smooth_obstacles,7,terrain_smooth_obstacles_007_sg07,7,17,82,63,11,medium,28.5861,hard,False
terrain_smooth_obstacles_007,smooth_obstacles,7,terrain_smooth_obstacles_007_sg08,8,18,21,89,118,long,35.4801,hard,False
terrain_smooth_obstacles_007,smooth_obstacles,7,terrain_smooth_obstacles_007_sg09,9,6,75,115,76,long,38.3797,hard,False
terrain_smooth_obstacles_007,smooth_obstacles,7,terrain_smooth_obstacles_007_sg10,10,26,75,116,47,long,41.3271,hard,True
